Sort Name,Date and Time,Test Number,Git Branch,Git Hash,Command Line Executed,Text File,Count of Strings,Type of File,Execution Time (real, to nearest ms)
selectionSort,10/14/22 01:34:36,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./selectionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./selectionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./selectionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./selectionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./selectionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.003
selectionSort,10/14/22 01:34:36,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./selectionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.003
selectionSort,10/14/22 01:34:36,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./selectionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.003
selectionSort,10/14/22 01:34:36,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./selectionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.003
selectionSort,10/14/22 01:34:36,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./selectionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.003
selectionSort,10/14/22 01:34:36,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./selectionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.003
selectionSort,10/14/22 01:34:36,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./selectionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./selectionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./selectionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./selectionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./selectionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
selectionSort,10/14/22 01:34:36,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./selectionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.024
selectionSort,10/14/22 01:34:36,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./selectionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.024
selectionSort,10/14/22 01:34:36,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./selectionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.024
selectionSort,10/14/22 01:34:36,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./selectionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.024
selectionSort,10/14/22 01:34:36,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./selectionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.024
selectionSort,10/14/22 01:34:38,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./selectionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,1.948
selectionSort,10/14/22 01:34:40,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./selectionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,1.939
selectionSort,10/14/22 01:34:42,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./selectionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,1.936
selectionSort,10/14/22 01:34:44,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./selectionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,1.941
selectionSort,10/14/22 01:34:46,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./selectionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,1.947
selectionSort,10/14/22 01:37:59,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./selectionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,193.201
selectionSort,10/14/22 01:41:12,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./selectionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,193.253
